name,category,country_code,region,city,status,funding_total_usd,funding_rounds,founded_at,first_funding_at,last_funding_at
303 Luxury Car Service,Transportation & Automotive,USA,Denver,Denver,operating,917571.0,1,2013-09-16,2013-10-25,2013-10-25
30SecondsToFly - Claire,Unknown,Unknown,Unknown,Unknown,closed,1400000.0,1,2015-04-15,2015-09-30,2015-09-30
312 Capital,Finance & FinTech,USA,Chicago,Chicago,operating,500000.0,1,2013-01-23,2014-09-16,2014-09-16
31Dover,E-Commerce & Retail,GBR,London,London,operating,2274716.0,1,2012-07-01,2014-03-01,2014-03-01
"321Lend, Inc.",Finance & FinTech,USA,SF Bay Area,San Francisco,operating,1500000.0,1,2014-03-01,2015-02-16,2015-02-16
33Across,Marketing & Advertising,USA,New York City,New York,operating,25654560.0,5,2007-09-01,2009-02-06,2012-07-19
33Coupons,Technology,IND,Kanpur,Kanpur,operating,20000.0,1,2015-05-01,2015-07-06,2015-07-06
360Cities,Media & Entertainment,CZE,Prague,Prague,operating,160000.0,1,2007-01-01,2007-12-01,2007-12-01
360Commerce,Technology,USA,Austin,Austin,acquired,15000000.0,2,1999-04-15,2001-01-01,2003-10-29
"360fly, Inc.",Technology,USA,Pittsburgh,Pittsburgh,operating,17800000.0,1,1998-01-01,2014-08-11,2014-08-11
360Guanxi,Health & Biotechnology,CHN,Shanghai,Shanghai,operating,5000000.0,1,2000-01-01,2009-06-01,2009-06-01
360imaging,Health & Biotechnology,USA,Atlanta,Atlanta,operating,1000000.0,2,2005-01-01,2011-11-01,2013-01-01
360incentives.com,Technology,CAN,Toronto,Whitby,operating,7650000.0,1,2008-01-01,2013-01-15,2013-01-15
360Learning,Social & Communication,FRA,Paris,Paris,operating,1543920.0,1,2010-01-01,2013-09-30,2013-09-30
360SHOP,Technology,CHN,Beijing,Beijing,operating,1623640.0,1,2011-06-13,2013-03-01,2013-03-01
360T,Finance & FinTech,DEU,Frankfurt,Frankfurt,acquired,7600000.0,1,2000-01-01,2012-02-16,2012-02-16
365 Data Centers,Technology,USA,SF Bay Area,Emeryville,operating,16000000.0,1,2012-01-01,2014-09-10,2014-09-10
365 docobites,Media & Entertainment,AUS,Sydney,Sydney,operating,574438.0,1,2013-01-01,2014-03-31,2014-03-31
365 Good Teacher,Finance & FinTech,Unknown,Unknown,Unknown,operating,500000.0,1,2012-11-16,2014-04-01,2014-04-01
365 Retail Markets,Technology,USA,Detroit,Troy,operating,7150000.0,3,2009-08-01,2013-04-01,2015-05-29
365Scores,Technology,GBR,London,London,operating,6700000.0,2,2008-01-01,2013-01-28,2014-09-29
365webcall,Technology,CHN,Hangzhou,Hangzhou,operating,4000000.0,1,2002-06-13,2004-03-01,2004-03-01
36Kr,Social & Communication,CHN,Beijing,Beijing,operating,1573976.0,3,1999-01-01,2011-04-01,2015-10-15
37coins,Finance & FinTech,USA,SF Bay Area,Sunnyvale,operating,525000.0,2,2014-01-01,2014-03-15,2014-06-01
37mhealth,Technology,CHN,Beijing,Beijing,operating,1629549.0,1,2013-01-01,2014-03-01,2014-03-01
Basecamp,Business Services,USA,Chicago,Chicago,operating,600000.0,1,1999-01-01,2006-07-01,2006-07-01
38 Zeros,Technology,USA,"Portland, Oregon",Portland,operating,800000.0,1,2013-06-22,2015-03-11,2015-03-11
382 Communications,Technology,USA,Boston,Quincy,operating,1600000.0,1,2010-01-01,2012-01-13,2012-01-13
